status,ball,soc_pin_name,net_name,candidate_signals,source_line,match_reason,interface_key,db_signal_name,db_device_pin_name,db_interface_name,dts_offset,mux_mode,linux_macro,result,confidence
MATCHED,W14,PRG1_PRU1_GPO10,CPSW_RGMII1_TXD2,PRG1_PRU1_GPO10,U1-W14 AM6412-PRG1_PRU1_GPO10 PASSIVE,soc_pin_name:PRG1_PRU1_GPO10; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO10,PRG1_PRU1_GPO10,PRU_ICSSG1_PRU1,0x0130,0,AM64X_IOPAD,PINMUX_DTS,HIGH
OUT_OF_SCOPE,W16,SERDES0_REFCLK0N,SERDES_REFCLK_N,SERDES0_REFCLK0N,U1-W16 AM6412-SERDES0_REFCLK0N PASSIVE,soc_pin_name:SERDES0_REFCLK0N; power/ground/analog class pin,SERDES0,SERDES0_REFCLK0N,SERDES0_REFCLK0N,SERDES0,NOT FOUND,0,AM64X_IOPAD,OUT_OF_SCOPE,HIGH
OUT_OF_SCOPE,W17,SERDES0_REFCLK0P,SERDES_REFCLK_P,SERDES0_REFCLK0P,U1-W17 AM6412-SERDES0_REFCLK0P PASSIVE,soc_pin_name:SERDES0_REFCLK0P; power/ground/analog class pin,SERDES0,SERDES0_REFCLK0P,SERDES0_REFCLK0P,SERDES0,NOT FOUND,0,AM64X_IOPAD,OUT_OF_SCOPE,HIGH
OUT_OF_SCOPE,W18,VSS_P,GND,VSS_P,U1-W18 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
MATCHED,W20,GPMC0_AD11,GPMC0_AD11,GPMC0_AD11,U1-W20 AM6412-GPMC0_AD11 PASSIVE,soc_pin_name:GPMC0_AD11; ball + TI symbol pin name matched SysConfig DB,GPMC0,GPMC0_AD11,GPMC0_AD11,GPMC0,0x0068,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,W21,GPMC0_AD12,GPMC0_AD12,GPMC0_AD12,U1-W21 AM6412-GPMC0_AD12 PASSIVE,soc_pin_name:GPMC0_AD12; ball + TI symbol pin name matched SysConfig DB,GPMC0,GPMC0_AD12,GPMC0_AD12,GPMC0,0x006c,0,AM64X_IOPAD,PINMUX_DTS,HIGH
ALT_FUNCTION_REVIEW,W6,PRG0_PRU0_GPO9,SOC_UART2_RXD,PRG0_PRU0_GPO9,U1-W6 AM6412-PRG0_PRU0_GPO9 PASSIVE,soc_pin_name:PRG0_PRU0_GPO9; alternate function hinted by net name on same ball,PRU_ICSSG0_PRU0,PRG0_PRU0_GPO9,PRG0_PRU0_GPO9,PRU_ICSSG0_PRU0,0x0184,0,AM64X_IOPAD,ALT_FUNCTION_REVIEW,MEDIUM
MATCHED,Y10,PRG1_PRU1_GPO16,CPSW_RGMII2_TX_CLK,PRG1_PRU1_GPO16,U1-Y10 AM6412-PRG1_PRU1_GPO16 PASSIVE,soc_pin_name:PRG1_PRU1_GPO16; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO16,PRG1_PRU1_GPO16,PRU_ICSSG1_PRU1,0x0148,0,AM64X_IOPAD,PINMUX_DTS,HIGH
GPIO_CANDIDATE,Y11,PRG1_PRU1_GPO15,CPSW_RGMII2_TX_CTRL,PRG1_PRU1_GPO15,U1-Y11 AM6412-PRG1_PRU1_GPO15 PASSIVE,soc_pin_name:PRG1_PRU1_GPO15; net or connected circuit suggests GPIO-style usage,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO15,PRG1_PRU1_GPO15,PRU_ICSSG1_PRU1,0x0144,0,AM64X_IOPAD,GPIO_CANDIDATE,MEDIUM
MATCHED,Y12,PRG1_PRU1_GPO3,CPSW_RGMII2_RXD3,PRG1_PRU1_GPO3,U1-Y12 AM6412-PRG1_PRU1_GPO3 PASSIVE,soc_pin_name:PRG1_PRU1_GPO3; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO3,PRG1_PRU1_GPO3,PRU_ICSSG1_PRU1,0x0114,0,AM64X_IOPAD,PINMUX_DTS,HIGH
